Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3  100.0%            LazyCompile: ~module.exports /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:222:27
      2    3.1%        LazyCompile: ~setHeader _http_outgoing.js:528:57
      2  100.0%          LazyCompile: ~applyHeaders /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/cors/lib/index.js:144:24
      2  100.0%            LazyCompile: ~applyHeaders /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/cors/lib/index.js:144:24
      2    3.1%        LazyCompile: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/debug/src/node.js:34:64
      2  100.0%          /usr/lib/x86_64-linux-gnu/libnode.so.72
      2  100.0%            Eval: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/debug/src/node.js:1:1
      1    1.6%        LazyCompile: ~toIdentifier /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/toidentifier/index.js:22:23
      1  100.0%          LazyCompile: ~forEachCode /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/http-errors/index.js:243:38
      1  100.0%            /usr/lib/x86_64-linux-gnu/libnode.so.72
      1    1.6%        LazyCompile: ~stat internal/modules/cjs/loader.js:123:14
      1  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:436:28
      1  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:731:35
      1    1.6%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:231:21
      1  100.0%          LazyCompile: ~tryPackage internal/modules/cjs/loader.js:279:20
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:436:28
      1    1.6%        LazyCompile: ~parseQueryStringKeys /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:135:46
      1  100.0%          LazyCompile: ~module.exports /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:222:27
      1  100.0%            LazyCompile: ~parseExtendedQueryString /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:291:34
      1    1.6%        LazyCompile: ~parse /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/bytes/index.js:137:15
      1  100.0%          LazyCompile: ~json /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/body-parser/lib/types/json.js:50:15
      1  100.0%            Script: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:1:1
      1    1.6%        LazyCompile: ~onParserExecuteCommon _http_server.js:609:31
      1  100.0%          LazyCompile: ~onParserExecute _http_server.js:568:25
      1    1.6%        LazyCompile: ~inspectorWaitForDebugger inspector.js:144:34
      1  100.0%          LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
      1  100.0%            LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:83871
      1    1.6%        LazyCompile: ~format /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/content-type/index.js:65:17
      1  100.0%          LazyCompile: ~setCharset /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:250:41
      1  100.0%            LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1    1.6%        LazyCompile: ~enable /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/debug/src/debug.js:138:16
      1  100.0%          Eval: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/debug/src/node.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      1    1.6%        LazyCompile: ~defaultResolve internal/modules/esm/resolve.js:756:24
      1  100.0%          LazyCompile: ~resolve internal/modules/esm/loader.js:95:16
      1  100.0%            LazyCompile: ~getModuleJob internal/modules/esm/loader.js:245:21
